feature,mean_rel_err_%,max_rel_err_%
w000,5.815258686145207e-11,3.2943458969595234e-10
w100,1.0309834148328139e-10,4.878961794925446e-10
w200,1.6068095195665748e-06,3.643267855478798e-06
w300,13.289494988745759,198.05222602740028
w010_0,4.916253481483253e-09,9.700173816060981e-07
w010_1,1.1029454982207241e-08,2.31598716393336e-06
w010_2,8.784434363117557e-09,1.198068791986454e-06
w110_0,8.906129250067951e-11,4.969209526232714e-10
w110_1,9.650828381701404e-11,4.946634538845303e-10
w110_2,8.936490961636835e-11,4.707322815260522e-10
w210_0,1.0519149752737553e-05,0.003517168223890809
w210_1,1.228757427044546e-05,0.0017419050771525614
w210_2,0.0004891600219092944,0.7250100818963645
w310_0,1.0936992056117336e-10,1.421193978283619e-09
w310_1,1.4175983298138912e-10,3.8792938774003813e-08
w310_2,9.783253502927098e-11,5.4837930524676674e-09
w020_00,9.593498969163196e-11,4.888935734598348e-10
w020_01,9.564123794831104e-11,4.757834391586864e-10
w020_02,9.233552399981691e-11,4.5453712373229285e-10
w020_11,9.943907832497931e-11,4.4798188535638623e-10
w020_12,1.0478048786490032e-10,4.765456634004215e-10
w020_22,9.072435752483936e-11,4.898287267662864e-10
w120_00,9.574506288440195e-11,4.679562288329946e-10
w120_01,1.039950527204948e-10,4.606596736694937e-10
w120_02,1.0661110296425899e-10,4.764017524776085e-10
w120_11,8.85537783634591e-11,4.891224874535508e-10
w120_12,8.171982788416965e-11,4.712484402643211e-10
w120_22,9.597765253810734e-11,4.834684515029145e-10
w220_00,1.1165826494721568e-06,3.21257872625241e-06
w220_01,3.2076095132769765e-06,0.00045513393862461703
w220_02,6.522944781859881e-06,0.0014063062230086326
w220_11,9.833325884464755e-07,3.129532083614343e-06
w220_12,1.2535564246896962e-06,8.616568798349676e-05
w220_22,1.0031921729758073e-06,2.684437115859374e-06
w320_00,7.797084517802e-11,4.946056071993149e-10
w320_01,9.068937508857599e-11,1.5848810999351397e-09
w320_02,1.0177225308091314e-10,4.662787674373665e-10
w320_11,1.3159946028503976e-10,4.746922211440279e-10
w320_12,8.177325301321093e-11,4.697908905787644e-10
w320_22,1.3399149293208547e-10,4.810552998277034e-10
w102_00,7.448167345591916e-11,2.813343372818321e-10
w102_01,8.671402293543362e-11,5.501900564288077e-10
w102_02,8.779620451607132e-11,5.001253577841135e-10
w102_11,8.718574831661873e-11,3.418501428205002e-10
w102_12,7.559415144402954e-11,4.929819560418671e-10
w102_22,9.162630986544743e-11,4.4202522287302045e-10
w202_00,1.5281930514299278e-06,4.1175714941883855e-06
w202_01,6.390858744091507e-05,0.06364994817991619
w202_02,0.06318822980137577,99.99999910905301
w202_11,2.0502057917363205e-06,4.952970165545167e-06
w202_12,7.64475663748445e-06,0.00042611205008524024
w202_22,1.2721041322054214e-06,3.794899436941408e-06
beta_w020,1.2480402725255344e-10,7.118048611671117e-10
beta_w120,1.7084884167367965e-10,7.212178368413249e-10
beta_w220,3.785778014081088e-07,2.2566049824394426e-06
beta_w320,1.486186151131882e-10,6.930534402299201e-10
beta_w102,1.3478885598896905e-10,5.501650646635962e-10
beta_w202,9.175233979901801e-07,5.284789754999533e-06
w020_EVal1,9.394169395439034e-11,4.779404370007417e-10
w020_EVal2,1.1549401801600429e-10,4.886142566263647e-10
w020_EVal3,7.93016128637512e-11,4.780510784912252e-10
w120_EVal1,1.1982980834776067e-10,4.77059192796775e-10
w120_EVal2,7.816076947060996e-11,4.53289671491794e-10
w120_EVal3,1.2346988236272884e-10,4.717661897497534e-10
w220_EVal1,8.049790108012625e-07,1.8699037724774405e-06
w220_EVal2,9.13404488663768e-07,2.98036078291255e-06
w220_EVal3,1.040532757150066e-06,2.861532076890056e-06
w320_EVal1,9.498307757944051e-11,4.572020099290377e-10
w320_EVal2,8.697663294165374e-11,4.737450238031057e-10
w320_EVal3,1.2001256932233443e-10,4.461594531371959e-10
w102_EVal1,1.264566585264631e-10,4.344601231970515e-10
w102_EVal2,9.245005988950122e-11,4.567988906625741e-10
w102_EVal3,5.718789351502396e-11,3.18282425961712e-10
w202_EVal1,1.2366377128180894e-06,3.153547754532251e-06
w202_EVal2,1.3704724804383954e-06,5.2236246007839296e-06
w202_EVal3,2.078102655954409e-06,6.389295269688517e-06
